1.57185,1.57247,1.57123
0.701561,0.701561,0.701561
20,0,0
1.68721,2.13692,1.765
2.1558,2.51169,2.33268
1.64129,2.35477,1.81304
1.42453,1.54522,2.06179
20,0,0
20,0,0
20,0,0
1.36645,2.07666,1.79191
2.59732,2.5179,3.69068
20,0,0
10.5721,10.567,10.546
3.00293,3.05004,3.43722
20,0,0
0.50679,0.987718,2.04634
1.34011,1.17883,0.995596
20,0,0
5.88463,4.54878,4.69624
0.79978,0.800391,0.800391
20,0,0
20,0,0
3.48616,4.65447,4.55779
20,0,0
20,0,0
3.80981,3.969,3.39634
20,0,0
20,0,0
20,0,0
5.98909,6.2302,5.76569
8.55246,8.76606,9.07634
20,0,0
20,0,0
20,0,0
20,0,0
5.29658,3.40022,4.37567
13.3448,13.2338,12.3394
2.5403,1.90574,3.25315
8.04455,8.64174,9.63555
2.49433,2.86752,2.16032
5.3352,4.14825,4.22627
17.6338,18.4193,18.2634
20,0,0
6.40518,5.84066,5.42824
18.6127,21.7085,21.4532
5.18731,8.44103,9.33225
20,0,0
1.0131,2.32408,1.44292
20,0,0
0.960143,1.25,0.847791
20,0,0
6.49429,6.68845,6.52534
9.36395,9.20062,9.0808
3.37355,3.49595,4.71689
20,0,0
4.01158,3.73865,3.8926
0.5,0.5,0.5
20,0,0
4.89569,4.80234,4.10875
1.32656,1.47008,1.93901
3.8203,3.53014,3.48728
7.21171,7.18281,7.66364
20,0,0
20,0,0
20,0,0
20,0,0
0.813701,0.490137,1.57805
1.01982,1.6283,0.497553
2,2,1
3.05532,3.06122,2.45566
7.20853,6.8669,7.47522
11.8389,12.1878,12.0325
0.47393,0.47393,0.47393
4.54191,4.3645,4.72712
20,0,0
20,0,0
5.6289,5.5746,5.7739
3.84997,3.22133,3.64341
7.25512,7.5069,7.15017
14.8855,12.2,12.7882
2.22721,2.11879,2.94845
20,0,0
5.38027,4.80895,4.86096
10.025,9.08413,9.41315
20,0,0
0.400805,0.400195,0.400805
20,0,0
20,0,0
0.745429,1.33719,1.73149
6.85879,7.15707,6.3352
20,0,0
0.577068,0.470829,1.57216
2.60333,2.60333,2.60333
5.3226,6.69713,6.80361
3.82873,2.81042,3.2527
1.2915,1.04489,1.04442
3.15439,2.85078,3.12781
20,0,0
8.381,8.40602,8.98496
4.83053,3.5092,3.49134
20,0,0
20,0,0
4.78625,5.08387,5.73282
2.82566,3.75988,3.46776
4.5143,4.17442,4.16833
4.82567,4.63196,4.69229
20,0,0
20,0,0
20,0,0
12.3228,12.0974,12.7058
20,0,0
20,0,0
20,0,0
20,0,0
3.77103,3.77103,3.39462
5.20751,4.93037,5.11222
20,0,0
4.98788,3.86377,3.75975
20,0,0
3.87702,3.86111,3.63898
1.25701,1.25701,1.25701
6.88855,7.08845,10.3308
9.1273,9.12232,8.74129
20,0,0
2.77263,6.54891,7.19897
20,0,0
9.82548,9.35352,8.61378
0.661438,1.38632,1.38632
